Episodic Rewards,Episodic Costs,Episode Lengths
0,1,4
0,1,10
0,0.200000003,51
0,0.200000003,51
12.49999959,0.200000003,100
0,1,7
0,1,12
0,0.200000003,51
9.722221904,0.200000003,70
2.777777687,1,8
1.388888843,1,9
0,0.200000003,51
1.388888843,0.200000003,56
0,1,9
1.388888843,1,11
1.388888843,0.200000003,71
0,1,16
2.777777687,1,4
1.388888843,0.200000003,57
2.777777687,1,29
2.777777687,1,14
13.88888843,0.200000003,100
4.16666653,0.200000003,120
0,0.200000003,51
1.388888843,1,3
2.777777687,0.200000003,58
1.388888843,0.200000003,79
0,1,7
1.388888843,0.200000003,53
26.38888802,1,47
