Episodic Rewards,Episodic Costs,Episode Lengths
6.944444217,1,26
11.11111075,0.200000003,85
19.44444381,1,37
19.44444381,0.200000003,106
2.777777687,0.200000003,62
6.944444217,0.200000003,66
83.3333306,1,138
6.944444217,0.200000003,285
6.944444217,0.200000003,83
9.722221904,0.200000003,65
105.5555528,1,123
1.388888843,0.200000003,56
1.388888843,1,13
8.33333306,1,11
26.38888802,1,52
68.05555332,1,159
27.77777687,1,73
27.77777687,0.200000003,105
6.944444217,1,12
183.3333273,1,275
106.9444409,1,205
11.11111075,1,74
2.777777687,0.200000003,60
5.555555373,0.200000003,75
0,1,1
6.944444217,1,47
2.777777687,0.200000003,55
8.33333306,1,62
2.777777687,0.200000003,56
8.33333306,1,102
