Episodic Rewards,Episodic Costs,Episode Lengths
6.0,0.5,30
16.0,0.5,42
17.0,1.0,48
19.0,1.0,49
13.0,0.5,45
8.0,0.5,37
53.0,1.0,194
19.0,0.5,52
28.0,1.0,91
12.0,1.0,31
74.0,0.5,186
47.0,1.0,130
112.0,1.0,326
90.0,0.5,260
8.0,0.5,31
3.0,1.0,21
34.0,0.5,98
35.0,1.0,110
48.0,1.0,150
60.0,1.0,155
40.0,1.0,116
55.0,0.5,192
3.0,0.5,16
25.0,1.0,95
50.0,1.0,142
17.0,1.0,52
30.0,1.0,83
143.0,1.0,397
29.0,0.5,103
73.0,0.5,221
