Episodic Rewards,Episodic Costs,Episode Lengths
4.16666653,1,32
130.5555512,1,127
59.72222026,1,57
301.3888791,0,308
243.0555479,1,238
47.22222067,1,52
299.9999908,0,308
199.9999941,1,199
0,1,1
80.55555291,1,100
299.9999903,0,309
0,1,1
212.4999929,1,219
162.4999947,1,157
73.6111087,1,70
301.3888791,0,312
0,1,1
2.777777687,1,4
62.49999795,1,70
301.3888797,0,344
301.3888791,0,309
301.388879,0,323
0,1,1
181.9444385,1,197
301.3888789,0,308
301.388879,0,335
40.27777657,1,30
134.7222178,1,146
172.2222166,1,187
198.6111049,1,203
