Episodic Rewards,Episodic Costs,Episode Lengths
0.7451923210173845,1.0,53.0
0.09615384787321091,1.0,45.0
0.024038461968302727,1.0,12.0
0.9615384787321091,0.20000000298023224,254.0
0.14423077180981636,1.0,11.0
0.3365384675562382,1.0,58.0
0.048076923936605453,0.20000000298023224,6.0
0.5769230872392654,1.0,76.0
0.024038461968302727,1.0,3.0
0.09615384787321091,0.20000000298023224,50.0
0.0,0.20000000298023224,51.0
0.24038461968302727,1.0,53.0
0.1682692337781191,0.20000000298023224,63.0
0.048076923936605453,0.20000000298023224,89.0
0.14423077180981636,0.20000000298023224,68.0
0.5769230872392654,1.0,55.0
0.1682692337781191,1.0,15.0
0.5048077013343573,0.20000000298023224,90.0
0.09615384787321091,1.0,28.0
0.0,1.0,4.0
0.12019230984151363,0.20000000298023224,60.0
0.024038461968302727,1.0,7.0
0.024038461968302727,1.0,61.0
0.1682692337781191,0.20000000298023224,22.0
0.2884615436196327,0.20000000298023224,28.0
0.024038461968302727,1.0,15.0
0.21634615771472454,0.20000000298023224,97.0
0.07211538590490818,1.0,50.0
0.12019230984151363,1.0,9.0
0.07211538590490818,0.20000000298023224,61.0
