Episodic Rewards,Episodic Costs,Episode Lengths
0.0,1.0,4.0
0.0,1.0,10.0
0.0,0.20000000298023224,51.0
0.0,0.20000000298023224,51.0
0.4166666530072689,0.20000000298023224,100.0
0.0,1.0,7.0
0.0,1.0,12.0
0.0,0.20000000298023224,51.0
0.32407406345009804,0.20000000298023224,70.0
0.09259258955717087,1.0,8.0
0.046296294778585434,1.0,9.0
0.0,0.20000000298023224,51.0
0.046296294778585434,0.20000000298023224,56.0
0.0,1.0,9.0
0.046296294778585434,1.0,11.0
0.046296294778585434,0.20000000298023224,71.0
0.0,1.0,16.0
0.09259258955717087,1.0,4.0
0.046296294778585434,0.20000000298023224,57.0
0.09259258955717087,1.0,29.0
0.09259258955717087,1.0,14.0
0.46296294778585434,0.20000000298023224,100.0
0.1388888843357563,0.20000000298023224,120.0
0.0,0.20000000298023224,51.0
0.046296294778585434,1.0,3.0
0.09259258955717087,0.20000000298023224,58.0
0.046296294778585434,0.20000000298023224,79.0
0.0,1.0,7.0
0.046296294778585434,0.20000000298023224,53.0
0.8796296007931232,1.0,47.0
