Episodic Rewards,Episodic Costs,Episode Lengths
0.024038461968302727,0.20000000298023224,53.0
1.5384615641087294,1.0,66.0
1.2019230984151363,1.0,53.0
2.740384664386511,1.0,130.0
0.024038461968302727,1.0,2.0
1.1538461744785309,1.0,58.0
0.24038461968302727,1.0,13.0
0.9375000167638063,1.0,45.0
0.14423077180981636,0.20000000298023224,24.0
0.5769230872392654,1.0,28.0
0.0,1.0,4.0
0.6490384731441736,1.0,38.0
0.5528846252709627,1.0,28.0
0.19230769574642181,1.0,13.0
1.2500000204890966,1.0,51.0
0.8894230909645557,1.0,35.0
0.2884615436196327,1.0,20.0
1.2500000223517418,1.0,50.0
0.024038461968302727,1.0,3.0
0.0,1.0,1.0
0.8894230909645557,1.0,35.0
0.09615384787321091,0.20000000298023224,14.0
0.7451923210173845,0.20000000298023224,29.0
0.07211538590490818,0.20000000298023224,11.0
0.09615384787321091,1.0,11.0
0.0,1.0,2.0
0.8413461688905954,1.0,40.0
0.024038461968302727,1.0,6.0
0.14423077180981636,0.20000000298023224,8.0
0.3605769295245409,0.20000000298023224,35.0
