Episodic Rewards,Episodic Costs
9.0,1.0
10.0,1.0
89.0,1.0
3.0,1.0
113.0,1.0
9.0,1.0
28.0,1.0
1.0,1.0
60.0,1.0
13.0,1.0
20.0,1.0
43.0,1.0
114.0,1.0
5.0,1.0
48.0,1.0
12.0,1.0
48.0,1.0
43.0,0.5
0.0,1.0
56.0,1.0
12.0,0.5
24.0,1.0
5.0,1.0
8.0,1.0
0.0,1.0
28.0,1.0
2.0,1.0
7.0,1.0
2.0,0.5
