Episodic Rewards,Episodic Costs
2.0,1.0
14.0,1.0
90.0,1.0
34.0,1.0
8.0,1.0
0.0,1.0
13.0,1.0
19.0,1.0
139.0,1.0
30.0,1.0
64.0,1.0
153.0,1.0
29.0,1.0
25.0,1.0
39.0,1.0
20.0,1.0
0.0,1.0
7.0,1.0
86.0,1.0
0.0,1.0
60.0,1.0
10.0,1.0
3.0,1.0
45.0,1.0
31.0,1.0
25.0,1.0
137.0,1.0
62.0,1.0
46.0,1.0
43.0,1.0
