Episodic Rewards,Episodic Costs,Episode Lengths
8.0,2.8000000417232513,32.0
4.0,0.0,32.0
1.0,15.800000011920929,32.0
5.0,5.300000078976154,32.0
4.0,9.600000381469727,32.0
3.0,0.0,32.0
1.0,9.600000381469727,32.0
3.0,12.400000013411045,32.0
5.0,4.90000007301569,32.0
5.0,9.600000381469727,32.0
1.0,0.0,32.0
6.0,9.800000369548798,32.0
3.0,0.0,32.0
2.0,9.600000381469727,32.0
4.0,10.20000034570694,32.0
2.0,13.400000154972076,32.0
1.0,9.600000381469727,32.0
3.0,10.600000321865082,32.0
4.0,0.0,32.0
3.0,0.0,32.0
6.0,2.9000000655651093,32.0
9.0,3.0000001192092896,32.0
5.0,3.7000000551342964,32.0
4.0,9.600000381469727,32.0
5.0,3.3000001311302185,32.0
2.0,0.0,32.0
6.0,9.600000381469727,32.0
1.0,9.600000381469727,32.0
4.0,9.600000381469727,32.0
2.0,1.0000000149011612,32.0
