Episodic Rewards,Episodic Costs,Episode Lengths
11.0,0.5399999879300594,32
5.0,0.4399999901652336,32
12.0,0.11999999731779099,32
10.0,0.6799999848008156,32
13.0,0.5799999870359898,32
4.0,1.499999988824129,10
5.0,1.599999986588955,16
11.0,1.3199999704957008,32
1.0,1.4599999897181988,10
14.0,0.6399999856948853,32
12.0,0.4399999901652336,32
5.0,1.1799999736249447,32
10.0,1.2599999718368053,32
11.0,1.3599999696016312,32
13.0,0.47999998927116394,32
11.0,0.2799999937415123,32
6.0,1.0799999982118607,11
5.0,0.7799999825656414,32
18.0,0.25999999418854713,32
12.0,0.19999999552965164,32
3.0,1.119999997317791,9
20.0,0.8399999812245369,31
7.0,0.4399999901652336,32
2.0,1.1599999964237213,3
15.0,0.7599999830126762,32
17.0,0.3999999910593033,32
15.0,0.41999999061226845,32
9.0,1.099999975413084,32
6.0,1.9999999552965164,32
16.0,0.6599999852478504,32
