TotalEnvSteps,REINFORCE-seed-3,REINFORCE-seed-1,REINFORCE-seed-0
62208,8.300000191,10.19999981,14.89999962
62336,9,10.30000019,16.60000038
62464,8.800000191,10.69999981,14
62592,9.300000191,9.899999619,11.60000038
62720,7.699999809,9.199999809,11.10000038
62848,6.800000191,8.899999619,13.89999962
62976,8.5,10.5,15.5
63104,7.800000191,11.19999981,15
63232,7.599999905,12.10000038,12.39999962
63360,8.899999619,11.69999981,11.69999981
63488,9.300000191,10,11.30000019
63616,8.300000191,9.600000381,12.39999962
63744,8.399999619,11.39999962,15.5
63872,8.699999809,10.19999981,17.10000038
64000,9.600000381,9.800000191,16
64128,9.5,10,15.89999962
64256,9.100000381,11.89999962,14.89999962
64384,9.899999619,11.89999962,13.80000019
64512,8.5,11,11.39999962
64640,7.400000095,9.5,10.69999981
64768,7.699999809,8.199999809,14.69999981
64896,7.5,9.5,14
65024,7.300000191,11.5,12.5
65152,8.399999619,12.60000038,12.69999981
65280,9.199999809,12.5,15.69999981
65408,9.399999619,10.89999962,16.10000038
65536,8.699999809,8.899999619,14.60000038
65664,8.600000381,8.100000381,16.39999962
65792,11.10000038,9.600000381,18
65920,10.39999962,10.69999981,16.89999962
66048,9.600000381,11.5,15.5
66176,10.30000019,9.699999809,13.80000019
66304,11,8.899999619,13.89999962
66432,11,10.39999962,15.10000038
66560,10.89999962,11.5,12.89999962
66688,10.30000019,11.5,13.80000019
66816,10,9.800000191,16.39999962
66944,10.80000019,10.30000019,16
67072,9.699999809,9.800000191,16.79999924
67200,9.5,9.100000381,16
67328,9.5,9.399999619,16.70000076
67456,8.600000381,9.5,15.80000019
67584,9.100000381,8.399999619,14.19999981
67712,10.39999962,10.30000019,14.89999962
67840,9.300000191,10.30000019,14.89999962
