Episodic Rewards,Episodic Costs,Episode Lengths
10.0,12.600000455975533,32.0
7.0,5.800000086426735,32.0
1.0,9.600000381469727,32.0
2.0,10.000000357627869,32.0
6.0,0.6000000238418579,32.0
8.0,0.6000000238418579,32.0
1.0,0.0,32.0
9.0,8.100000321865082,32.0
3.0,9.600000381469727,32.0
1.0,0.0,32.0
1.0,6.400000095367432,32.0
6.0,1.600000023841858,32.0
7.0,1.5000000596046448,32.0
1.0,6.400000095367432,32.0
0.0,1.0,1.0
1.0,0.0,32.0
1.0,9.600000381469727,32.0
6.0,7.500000290572643,32.0
6.0,1.5000000521540642,32.0
6.0,12.20000022649765,32.0
3.0,2.400000035762787,5.0
3.0,3.200000047683716,32.0
2.0,0.0,32.0
3.0,9.600000381469727,32.0
1.0,1.1000000014901161,2.0
2.0,0.0,32.0
3.0,0.0,32.0
5.0,0.30000001192092896,32.0
4.0,9.600000381469727,32.0
4.0,3.400000050663948,32.0
