Episodic Rewards,Episodic Costs
20.0,0.5599999874830246
20.0,0.41999999061226845
20.0,0.29999999329447746
20.0,0.5799999870359898
20.0,0.3399999924004078
20.0,0.8799999840557575
20.0,0.41999999061226845
20.0,0.2799999937415123
20.0,0.17999999597668648
20.0,0.6599999852478504
20.0,0.3199999928474426
20.0,0.4999999888241291
20.0,0.5799999870359898
20.0,0.41999999061226845
20.0,0.3799999915063381
11.0,0.35999999195337296
20.0,0.9199999831616879
3.0,1.0799999982118607
20.0,0.2799999937415123
20.0,0.17999999597668648
20.0,0.3199999928474426
20.0,0.4399999901652336
17.0,1.3799999915063381
20.0,0.05999999865889549
20.0,0.3199999928474426
18.0,0.8799999840557575
20.0,0.6199999861419201
16.0,0.35999999195337296
20.0,0.5399999879300594
