Episodic Rewards,Episodic Costs
20.0,0.23999999463558197
20.0,0.2199999950826168
20.0,0.5199999883770943
20.0,0.29999999329447746
20.0,0.2799999937415123
20.0,0.2199999950826168
20.0,0.4599999897181988
20.0,0.2199999950826168
20.0,0.3799999915063381
20.0,0.3999999910593033
20.0,0.2199999950826168
20.0,0.3199999928474426
20.0,0.19999999552965164
20.0,0.3199999928474426
20.0,0.47999998927116394
20.0,0.19999999552965164
20.0,0.3399999924004078
20.0,0.7199999876320362
17.0,0.35999999195337296
20.0,0.41999999061226845
20.0,0.35999999195337296
20.0,0.3199999928474426
20.0,0.19999999552965164
20.0,0.41999999061226845
20.0,0.3199999928474426
18.0,0.29999999329447746
20.0,0.3199999928474426
20.0,0.13999999687075615
20.0,0.2199999950826168
