Episodic Rewards,Episodic Costs
20.0,0.9599999822676182
20.0,1.1599999777972698
20.0,0.23999999463558197
20.0,0.09999999776482582
20.0,0.35999999195337296
20.0,0.3399999924004078
17.0,0.6399999856948853
9.0,1.259999979287386
20.0,0.07999999821186066
20.0,0.819999985396862
20.0,0.2199999950826168
20.0,0.1599999964237213
20.0,0.4999999888241291
20.0,0.23999999463558197
20.0,0.05999999865889549
13.0,0.6199999861419201
20.0,0.05999999865889549
20.0,0.07999999821186066
20.0,0.4999999888241291
20.0,0.05999999865889549
20.0,0.3799999915063381
20.0,0.3399999924004078
20.0,0.7399999834597111
20.0,0.5199999883770943
20.0,0.03999999910593033
20.0,0.17999999597668648
20.0,0.13999999687075615
20.0,0.23999999463558197
20.0,0.4399999901652336
