Episodic Rewards,Episodic Costs
20.0,0.29999999329447746
14.0,0.17999999597668648
7.0,1.6599999628961086
20.0,0.1599999964237213
19.0,0.13999999687075615
20.0,0.3799999915063381
13.0,0.19999999552965164
18.0,0.23999999463558197
10.0,1.5599999651312828
18.0,0.4999999888241291
14.0,0.5799999870359898
15.0,0.5199999883770943
20.0,0.4599999897181988
12.0,0.09999999776482582
17.0,0.1599999964237213
20.0,0.19999999552965164
13.0,0.4999999888241291
10.0,0.29999999329447746
17.0,0.25999999418854713
10.0,0.5199999921023846
20.0,0.23999999463558197
14.0,0.4399999901652336
14.0,0.35999999195337296
15.0,0.35999999195337296
20.0,0.23999999463558197
16.0,0.29999999329447746
14.0,0.23999999463558197
20.0,0.2199999950826168
20.0,0.23999999463558197
