Episodic Rewards,Episodic Costs
19.0,0.5199999883770943
10.0,1.2199999950826168
20.0,0.35999999195337296
20.0,0.6799999848008156
20.0,0.23999999463558197
20.0,0.2199999950826168
20.0,0.17999999597668648
20.0,0.23999999463558197
20.0,0.4599999897181988
19.0,1.0799999758601189
20.0,0.19999999552965164
20.0,0.41999999061226845
20.0,0.25999999418854713
20.0,0.9799999818205833
14.0,1.0999999977648258
20.0,0.19999999552965164
19.0,0.8599999807775021
20.0,0.5799999870359898
20.0,0.3799999915063381
15.0,0.8599999807775021
9.0,0.4999999888241291
20.0,0.2799999937415123
20.0,0.6399999856948853
20.0,0.2199999950826168
20.0,0.35999999195337296
19.0,0.6399999856948853
20.0,0.19999999552965164
20.0,0.9199999794363976
20.0,0.23999999463558197
