Episodic Rewards,Episodic Costs
4.0,1.5199999958276749
19.0,1.1199999786913395
20.0,1.1599999815225601
20.0,1.0399999804794788
20.0,0.19999999552965164
8.0,0.6199999861419201
19.0,1.1799999959766865
20.0,0.6799999885261059
20.0,0.17999999597668648
20.0,0.8599999845027924
19.0,1.2999999821186066
20.0,1.2399999760091305
20.0,0.25999999418854713
20.0,1.2599999830126762
20.0,1.4599999748170376
20.0,0.47999998927116394
20.0,0.6399999894201756
20.0,0.05999999865889549
20.0,0.9199999831616879
20.0,0.35999999195337296
20.0,1.3399999774992466
20.0,0.9199999868869781
4.0,1.339999996125698
20.0,1.219999983906746
6.0,1.6799999885261059
20.0,1.259999979287386
15.0,0.8199999891221523
18.0,1.479999989271164
20.0,0.47999998927116394
