Episodic Rewards,Episodic Costs
20.0,0.2199999950826168
20.0,1.3599999733269215
20.0,0.05999999865889549
20.0,0.939999982714653
20.0,1.379999976605177
20.0,0.1599999964237213
20.0,0.5199999883770943
20.0,0.7999999858438969
15.0,0.8799999877810478
20.0,0.17999999597668648
20.0,0.5199999883770943
20.0,0.7799999862909317
20.0,1.1799999810755253
20.0,0.939999982714653
20.0,0.8799999803304672
18.0,1.3399999774992466
20.0,0.9199999831616879
17.0,0.6799999885261059
20.0,0.17999999597668648
20.0,0.7599999830126762
20.0,0.41999999061226845
20.0,0.7399999834597111
20.0,0.13999999687075615
20.0,0.699999988079071
20.0,0.1599999964237213
20.0,0.05999999865889549
20.0,0.7599999867379665
20.0,0.819999985396862
20.0,0.23999999463558197
